Part #,SKU,Name,Category,Katana Type,Katana Subtype,Has BOM,Sellable,Notes,Is Subassembly
10410,SOL-SVL-NTK-LEF-ST2,"Solerno Swivel Chair, Leaf, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Leaf fabric, pillow back",No
10411,SOL-SVL-NTK-SBL-ST1,"Solerno Swivel Chair, Sable, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Sable fabric, foam back",No
10412,SOL-SVL-NTK-SBL-ST2,"Solerno Swivel Chair, Sable, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Sable fabric, pillow back",No
10413,SOL-SVL-NTK-SLT-ST1,"Solerno Swivel Chair, Salt, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Salt fabric, foam back",No
10414,SOL-SVL-NTK-SLT-ST2,"Solerno Swivel Chair, Salt, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Salt fabric, pillow back",No
10415,SOL-SVL-NTK-SAH-ST1,"Solerno Swivel Chair, Sahara, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Sahara fabric, foam back",No
10416,SOL-SVL-NTK-SAH-ST2,"Solerno Swivel Chair, Sahara, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Sahara fabric, pillow back",No
10417,SOL-SVL-NTK-GUL-ST1,"Solerno Swivel Chair, Seagull, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Seagull fabric, foam back",No
10418,SOL-SVL-NTK-GUL-ST2,"Solerno Swivel Chair, Seagull, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Seagull fabric, pillow back",No
10419,SOL-SVL-NTK-BSQ-ST1,"Solerno Swivel Chair, Bisque, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Bisque fabric, foam back",No
10420,SOL-SVL-NTK-BSQ-ST2,"Solerno Swivel Chair, Bisque, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Bisque fabric, pillow back",No
10421,SOL-SVL-NTK-SEA-ST1,"Solerno Swivel Chair, Seaglass, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Seaglass fabric, foam back",No
10422,SOL-SVL-NTK-SEA-ST2,"Solerno Swivel Chair, Seaglass, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Seaglass fabric, pillow back",No
10423,SOL-SVL-NTK-SND-ST1,"Solerno Swivel Chair, Sand, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Sand fabric, foam back",No
10424,SOL-SVL-NTK-SND-ST2,"Solerno Swivel Chair, Sand, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Sand fabric, pillow back",No
10425,SOL-SVL-NTK-ALO-ST1,"Solerno Swivel Chair, Aloe, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Aloe fabric, foam back",No
10426,SOL-SVL-NTK-ALO-ST2,"Solerno Swivel Chair, Aloe, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Aloe fabric, pillow back",No
10427,SOL-SVL-NTK-JAV-ST1,"Solerno Swivel Chair, Java, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Java fabric, foam back",No
10428,SOL-SVL-NTK-JAV-ST2,"Solerno Swivel Chair, Java, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Java fabric, pillow back",No
